questions,answers,questions_with_answers,entity,image_ids
New Post : Blackburn Festival of Voice 2017 Which word(s) correspond to the misceallonous entity in the sentence? ,Blackburn Voice of Festival,New Post : Blackburn Festival of Voice 2017 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Blackburn Voice of Festival,misceallonous entity,17_06_12483.jpg
# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards Which word(s) correspond to the organization in the sentence? ,NBA,# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards Which word(s) correspond to the organization in the sentence? Answer: NBA,organization,17_06_2932.jpg
"Justin Bieber , Rich the Kid and Diplo have a banger on the way : Which word(s) correspond to the person in the sentence? ",Justin Bieber,"Justin Bieber , Rich the Kid and Diplo have a banger on the way : Which word(s) correspond to the person in the sentence? Answer: Justin Bieber",person,O_1926.jpg
New Event : French Quarter Festival 2020 Which word(s) correspond to the misceallonous entity in the sentence? ,French Festival Quarter,New Event : French Quarter Festival 2020 Which word(s) correspond to the misceallonous entity in the sentence? Answer: French Festival Quarter,misceallonous entity,16_05_24_704.jpg
Eric Nam announces concert dates for Atlanta and NYC ! Which word(s) correspond to the person in the sentence? ,Eric Nam,Eric Nam announces concert dates for Atlanta and NYC ! Which word(s) correspond to the person in the sentence? Answer: Eric Nam,person,17_06_12486.jpg
Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan Which word(s) correspond to the organization in the sentence? ,Rough Riders,Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan Which word(s) correspond to the organization in the sentence? Answer: Rough Riders,organization,16_05_23_627.jpg
People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork Which word(s) correspond to the location in the sentence? ,KeyArena,People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork Which word(s) correspond to the location in the sentence? Answer: KeyArena,location,16_05_28_123.jpg
If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶 Which word(s) correspond to the organization in the sentence? ,SHS,If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶 Which word(s) correspond to the organization in the sentence? Answer: SHS,organization,16_05_05_133.jpg
@ hannuhnell after the rihanna concert Which word(s) correspond to the person in the sentence? ,hannuhnell,@ hannuhnell after the rihanna concert Which word(s) correspond to the person in the sentence? Answer: hannuhnell,person,16_05_17_498.jpg
Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA Which word(s) correspond to the organization in the sentence? ,Cavs,Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA Which word(s) correspond to the organization in the sentence? Answer: Cavs,organization,17_06_7980.jpg
"The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here Which word(s) correspond to the person in the sentence? ",James Franco,"The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here Which word(s) correspond to the person in the sentence? Answer: James Franco",person,O_3127.jpg
48 years ago today we won our very first @ Bundesliga_EN title ! Which word(s) correspond to the organization in the sentence? ,Bundesliga_EN,48 years ago today we won our very first @ Bundesliga_EN title ! Which word(s) correspond to the organization in the sentence? Answer: Bundesliga_EN,organization,17_06_1239.jpg
Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals Which word(s) correspond to the organization in the sentence? ,warriors,Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals Which word(s) correspond to the organization in the sentence? Answer: warriors,organization,17_06_13987.jpg
Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG Which word(s) correspond to the organization in the sentence? ,ETSUFootball,Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG Which word(s) correspond to the organization in the sentence? Answer: ETSUFootball,organization,17_06_1237.jpg
Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer . Which word(s) correspond to the location in the sentence? ,pizzaportCbad,Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer . Which word(s) correspond to the location in the sentence? Answer: pizzaportCbad,location,16_05_28_46.jpg
"From Pride Parade in Paris , 2015 . # dogsofpride Which word(s) correspond to the location in the sentence? ",Paris,"From Pride Parade in Paris , 2015 . # dogsofpride Which word(s) correspond to the location in the sentence? Answer: Paris",location,17_06_5383.jpg
"Marc Chagall - 1944 , The House with the Green Eye Which word(s) correspond to the person in the sentence? ",Marc Chagall,"Marc Chagall - 1944 , The House with the Green Eye Which word(s) correspond to the person in the sentence? Answer: Marc Chagall",person,O_2369.jpg
Canadian women ’ s soccer team takes different approach to Rio 2016 after World Cup Which word(s) correspond to the location in the sentence? ,Canadian,Canadian women ’ s soccer team takes different approach to Rio 2016 after World Cup Which word(s) correspond to the location in the sentence? Answer: Canadian,location,16_05_31_538.jpg
"Jennifer Lawrence ; James McAvoy talk # XMenApocalypse , crack each other up : Which word(s) correspond to the person in the sentence? ",Jennifer Lawrence,"Jennifer Lawrence ; James McAvoy talk # XMenApocalypse , crack each other up : Which word(s) correspond to the person in the sentence? Answer: Jennifer Lawrence",person,O_1634.jpg
British teams take home five of the ten biggest total sponsorship hauls in world soccer Which word(s) correspond to the location in the sentence? ,British,British teams take home five of the ten biggest total sponsorship hauls in world soccer Which word(s) correspond to the location in the sentence? Answer: British,location,16_05_14_1167.jpg
"Donald Trump : Stop Harming Low - Income Americans , Now ! - Sign the Petition ! Which word(s) correspond to the person in the sentence? ",Donald Trump,"Donald Trump : Stop Harming Low - Income Americans , Now ! - Sign the Petition ! Which word(s) correspond to the person in the sentence? Answer: Donald Trump",person,O_3129.jpg
Sergio Ramos : Real Madrid as motivated as two years ago - Which word(s) correspond to the person in the sentence? ,Sergio Ramos,Sergio Ramos : Real Madrid as motivated as two years ago - Which word(s) correspond to the person in the sentence? Answer: Sergio Ramos,person,O_2762.jpg
Harry Potter and The Order of the Phoenix . ღ Which word(s) correspond to the misceallonous entity in the sentence? ,Harry Phoenix the of Order The and Potter,Harry Potter and The Order of the Phoenix . ღ Which word(s) correspond to the misceallonous entity in the sentence? Answer: Harry Phoenix the of Order The and Potter,misceallonous entity,O_4146.jpg
Happy birthday @ dachejones . Best fantasy football GM I know . Can ' t wait to be back home with you and the guys Which word(s) correspond to the person in the sentence? ,dachejones,Happy birthday @ dachejones . Best fantasy football GM I know . Can ' t wait to be back home with you and the guys Which word(s) correspond to the person in the sentence? Answer: dachejones,person,16_05_01_391.jpg
Happy Birthday @ soccerkorpics18 Hope you have a good day 💙 Which word(s) correspond to the person in the sentence? ,soccerkorpics18,Happy Birthday @ soccerkorpics18 Hope you have a good day 💙 Which word(s) correspond to the person in the sentence? Answer: soccerkorpics18,person,16_05_18_501.jpg
So grateful that I just received my first offer and opportunity to play D1 football at Morehead State University ! 🙏 🏾 Which word(s) correspond to the organization in the sentence? ,Morehead University State,So grateful that I just received my first offer and opportunity to play D1 football at Morehead State University ! 🙏 🏾 Which word(s) correspond to the organization in the sentence? Answer: Morehead University State,organization,16_05_19_178.jpg
"Photos Of Notorious Kidnapper , Evans Paraded Along With His Gang Members Which word(s) correspond to the person in the sentence? ",Evans,"Photos Of Notorious Kidnapper , Evans Paraded Along With His Gang Members Which word(s) correspond to the person in the sentence? Answer: Evans",person,17_06_4982.jpg
"Congratulations to barcelona for defending the la liga title , its be a great season , proud to be a fan Which word(s) correspond to the organization in the sentence? ",barcelona,"Congratulations to barcelona for defending the la liga title , its be a great season , proud to be a fan Which word(s) correspond to the organization in the sentence? Answer: barcelona",organization,16_05_14_681.jpg
WATCH : Anger outside a Donald Trump rally leads our Eye Opener - your world in 90 seconds : Which word(s) correspond to the person in the sentence? ,Anger,WATCH : Anger outside a Donald Trump rally leads our Eye Opener - your world in 90 seconds : Which word(s) correspond to the person in the sentence? Answer: Anger,person,O_4097.jpg
# RT # Follow # TopStories How Donald Trump is running to the left of Hillary Clinton - … Which word(s) correspond to the person in the sentence? ,Donald Trump,# RT # Follow # TopStories How Donald Trump is running to the left of Hillary Clinton - … Which word(s) correspond to the person in the sentence? Answer: Donald Trump,person,O_2955.jpg
Beautiful day for the Armed Forces Day parade in Forsyth . Hooah ! Which word(s) correspond to the misceallonous entity in the sentence? ,Armed Day Forces,Beautiful day for the Armed Forces Day parade in Forsyth . Hooah ! Which word(s) correspond to the misceallonous entity in the sentence? Answer: Armed Day Forces,misceallonous entity,16_05_21_228.jpg
Jessica And Former NBA Star Stephon Marbury Snap Cute Shots Together Which word(s) correspond to the person in the sentence? ,Jessica,Jessica And Former NBA Star Stephon Marbury Snap Cute Shots Together Which word(s) correspond to the person in the sentence? Answer: Jessica,person,16_05_22_713.jpg
Indonesia to lift suspension of soccer association Which word(s) correspond to the location in the sentence? ,Indonesia,Indonesia to lift suspension of soccer association Which word(s) correspond to the location in the sentence? Answer: Indonesia,location,16_05_10_327.jpg
My Future Hearts Tour concert was one year ago today . One of the best 😭 Which word(s) correspond to the misceallonous entity in the sentence? ,Future Hearts,My Future Hearts Tour concert was one year ago today . One of the best 😭 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Future Hearts,misceallonous entity,16_05_15_746.jpg
"Christina Aguilera was at her prime during the 2000 ' s , a culture appropiating mess but she was cute Which word(s) correspond to the person in the sentence? ",Christina Aguilera,"Christina Aguilera was at her prime during the 2000 ' s , a culture appropiating mess but she was cute Which word(s) correspond to the person in the sentence? Answer: Christina Aguilera",person,O_2366.jpg
