questions,answers,sentences,questions_with_answers,entity,image_ids
 Which word(s) correspond to the misceallonous entity in the sentence? ,Blackburn Voice of Festival,New Post : Blackburn Festival of Voice 2017,New Post : Blackburn Festival of Voice 2017 Which word(s) correspond to the misceallonous entity in the sentence? Answer: Blackburn Voice of Festival,misceallonous entity,17_06_12483.jpg
 Which word(s) correspond to the organization in the sentence? ,NBA,# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards,# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards Which word(s) correspond to the organization in the sentence? Answer: NBA,organization,17_06_2932.jpg
 Which word(s) correspond to the person in the sentence? ,Justin Bieber,"Justin Bieber , Rich the Kid and Diplo have a banger on the way :","Justin Bieber , Rich the Kid and Diplo have a banger on the way : Which word(s) correspond to the person in the sentence? Answer: Justin Bieber",person,O_1926.jpg
 Which word(s) correspond to the misceallonous entity in the sentence? ,French Festival Quarter,New Event : French Quarter Festival 2020,New Event : French Quarter Festival 2020 Which word(s) correspond to the misceallonous entity in the sentence? Answer: French Festival Quarter,misceallonous entity,16_05_24_704.jpg
 Which word(s) correspond to the person in the sentence? ,Eric Nam,Eric Nam announces concert dates for Atlanta and NYC !,Eric Nam announces concert dates for Atlanta and NYC ! Which word(s) correspond to the person in the sentence? Answer: Eric Nam,person,17_06_12486.jpg
 Which word(s) correspond to the organization in the sentence? ,Rough Riders,Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan,Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan Which word(s) correspond to the organization in the sentence? Answer: Rough Riders,organization,16_05_23_627.jpg
 Which word(s) correspond to the location in the sentence? ,KeyArena,People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork,People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork Which word(s) correspond to the location in the sentence? Answer: KeyArena,location,16_05_28_123.jpg
 Which word(s) correspond to the organization in the sentence? ,SHS,If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶,If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶 Which word(s) correspond to the organization in the sentence? Answer: SHS,organization,16_05_05_133.jpg
 Which word(s) correspond to the person in the sentence? ,hannuhnell,@ hannuhnell after the rihanna concert,@ hannuhnell after the rihanna concert Which word(s) correspond to the person in the sentence? Answer: hannuhnell,person,16_05_17_498.jpg
 Which word(s) correspond to the organization in the sentence? ,Cavs,Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA,Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA Which word(s) correspond to the organization in the sentence? Answer: Cavs,organization,17_06_7980.jpg
 Which word(s) correspond to the person in the sentence? ,James Franco,"The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here","The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here Which word(s) correspond to the person in the sentence? Answer: James Franco",person,O_3127.jpg
 Which word(s) correspond to the organization in the sentence? ,Bundesliga_EN,48 years ago today we won our very first @ Bundesliga_EN title !,48 years ago today we won our very first @ Bundesliga_EN title ! Which word(s) correspond to the organization in the sentence? Answer: Bundesliga_EN,organization,17_06_1239.jpg
 Which word(s) correspond to the organization in the sentence? ,warriors,Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals,Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals Which word(s) correspond to the organization in the sentence? Answer: warriors,organization,17_06_13987.jpg
 Which word(s) correspond to the organization in the sentence? ,ETSUFootball,Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG,Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG Which word(s) correspond to the organization in the sentence? Answer: ETSUFootball,organization,17_06_1237.jpg
 Which word(s) correspond to the location in the sentence? ,pizzaportCbad,Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer .,Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer . Which word(s) correspond to the location in the sentence? Answer: pizzaportCbad,location,16_05_28_46.jpg
 Which word(s) correspond to the location in the sentence? ,Paris,"From Pride Parade in Paris , 2015 . # dogsofpride","From Pride Parade in Paris , 2015 . # dogsofpride Which word(s) correspond to the location in the sentence? Answer: Paris",location,17_06_5383.jpg
 Which word(s) correspond to the person in the sentence? ,Marc Chagall,"Marc Chagall - 1944 , The House with the Green Eye","Marc Chagall - 1944 , The House with the Green Eye Which word(s) correspond to the person in the sentence? Answer: Marc Chagall",person,O_2369.jpg
