questions,answers,sentences,questions_with_answers,entity,image_ids
 Which word(s) correspond to the misceallonous in the sentence? ,['Blackburn Festival of Voice'],New Post : Blackburn Festival of Voice 2017,New Post : Blackburn Festival of Voice 2017 Which word(s) correspond to the misceallonous in the sentence? Answer: Blackburn Festival of Voice,['misceallonous'],17_06_12483.jpg
 Which word(s) correspond to the organization in the sentence? ,"['NBA', 'Kawhi Leonard', 'NBAAwards']",# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards,# NBA : Kawhi Leonard wins the fan vote for Block of the Year ! # NBAAwards Which word(s) correspond to the organization in the sentence? Answer: NBA,"['organization', 'person', 'misceallonous']",17_06_2932.jpg
 Which word(s) correspond to the person in the sentence? ,"['Justin Bieber', 'Rich the Kid', 'Diplo']","Justin Bieber , Rich the Kid and Diplo have a banger on the way :","Justin Bieber , Rich the Kid and Diplo have a banger on the way : Which word(s) correspond to the person in the sentence? Answer: Justin Bieber","['person', 'person', 'person']",O_1926.jpg
 Which word(s) correspond to the misceallonous in the sentence? ,['French Quarter Festival'],New Event : French Quarter Festival 2020,New Event : French Quarter Festival 2020 Which word(s) correspond to the misceallonous in the sentence? Answer: French Quarter Festival,['misceallonous'],16_05_24_704.jpg
 Which word(s) correspond to the person in the sentence? ,"['Eric Nam', 'Atlanta', 'NYC']",Eric Nam announces concert dates for Atlanta and NYC !,Eric Nam announces concert dates for Atlanta and NYC ! Which word(s) correspond to the person in the sentence? Answer: Eric Nam,"['person', 'location', 'location']",17_06_12486.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Rough Riders', 'Degan']",Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan,Rough Riders baseball and Degan 5 th graders ! It ' s a beautiful day ⚾ ️ ! # wearedegan Which word(s) correspond to the organization in the sentence? Answer: Rough Riders,"['organization', 'organization']",16_05_23_627.jpg
 Which word(s) correspond to the location in the sentence? ,"['KeyArena', 'Seattle']",People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork,People lining up outside KeyArena . Still about 30 from tipoff here in Seattle . # GoSun # WNBA20 # WatchMeWork Which word(s) correspond to the location in the sentence? Answer: KeyArena,"['location', 'location']",16_05_28_123.jpg
 Which word(s) correspond to the organization in the sentence? ,['SHS'],If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶,If you ' re not at the SHS band concert you ' re missing out ! 🎼 🎶 Which word(s) correspond to the organization in the sentence? Answer: SHS,['organization'],16_05_05_133.jpg
 Which word(s) correspond to the person in the sentence? ,"['hannuhnell', 'rihanna']",@ hannuhnell after the rihanna concert,@ hannuhnell after the rihanna concert Which word(s) correspond to the person in the sentence? Answer: hannuhnell,"['person', 'person']",16_05_17_498.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],"I have a number of events planed , charity football , 20 / 20 cricket , golf day , number charity evenings can you help","I have a number of events planed , charity football , 20 / 20 cricket , golf day , number charity evenings can you help Which word(s) correspond to the none in the sentence? Answer: none",['none'],16_05_10_969.jpg
 Which word(s) correspond to the organization in the sentence? ,"['Cavs', 'Warriors', 'Cavaliers', 'NBA']",Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA,Podcast : Cavs - Warriors Game 3 recap # Cavaliers # NBA Which word(s) correspond to the organization in the sentence? Answer: Cavs,"['organization', 'organization', 'organization', 'organization']",17_06_7980.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],which should i wear to my soccer banquet xx,which should i wear to my soccer banquet xx Which word(s) correspond to the none in the sentence? Answer: none,['none'],17_06_11757.jpg
 Which word(s) correspond to the person in the sentence? ,"['James Franco', 'Mother , May I Sleep with Danger']","The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here","The trailer for James Franco ' s ' revamped ' Mother , May I Sleep with Danger ? is here Which word(s) correspond to the person in the sentence? Answer: James Franco","['person', 'misceallonous']",O_3127.jpg
 Which word(s) correspond to the organization in the sentence? ,['Bundesliga_EN'],48 years ago today we won our very first @ Bundesliga_EN title !,48 years ago today we won our very first @ Bundesliga_EN title ! Which word(s) correspond to the organization in the sentence? Answer: Bundesliga_EN,['organization'],17_06_1239.jpg
 Which word(s) correspond to the organization in the sentence? ,"['warriors', 'Erik']",Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals,Let ' s go for all @ warriors 💪 🏀 🏀 for Erik # minicurry # bball 🏀 🏀 # NBAFinals Which word(s) correspond to the organization in the sentence? Answer: warriors,"['organization', 'person']",17_06_13987.jpg
 Which word(s) correspond to the organization in the sentence? ,['ETSUFootball'],Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG,Some love from @ ETSUFootball . Looking forward to the visit . # L18htemup # NEG Which word(s) correspond to the organization in the sentence? Answer: ETSUFootball,['organization'],17_06_1237.jpg
 Which word(s) correspond to the location in the sentence? ,"['pizzaportCbad', 'FirestoneWalker', 'GreenFlashBeer']",Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer .,Join us tonight at @ pizzaportCbad for the Civil War North vs . South with @ FirestoneWalker and @ GreenFlashBeer . Which word(s) correspond to the location in the sentence? Answer: pizzaportCbad,"['location', 'organization', 'organization']",16_05_28_46.jpg
 Which word(s) correspond to the none in the sentence? ,['none'],Bill of Rights 200 th Anniversary First Day of Issue Cover # 2421,Bill of Rights 200 th Anniversary First Day of Issue Cover # 2421 Which word(s) correspond to the none in the sentence? Answer: none,['none'],O_2548.jpg
