f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,f_scoreperson0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,f_scoreperson1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,f_scoreperson2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,f_scoreperson3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,f_scoreperson4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,f_scoreperson0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,f_scoreperson1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,f_scoreperson2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,f_scoreperson3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,f_scoreperson4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,f_scoremisceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,f_scoremisceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,f_scoremisceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,f_scoremisceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,f_scoremisceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,f_scoremisceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,f_scoremisceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,f_scoremisceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,f_scoremisceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,f_scoremisceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,f_scoreorganization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,f_scoreorganization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,f_scoreorganization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,f_scoreorganization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,f_scoreorganization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,f_scoreorganization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,f_scoreorganization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,f_scoreorganization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,f_scoreorganization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,f_scoreorganization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,f_scorelocation0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,f_scorelocation1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,f_scorelocation2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,f_scorelocation3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,f_scorelocation4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,f_scorelocation0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,f_scorelocation1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,f_scorelocation2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,f_scorelocation3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,f_scorelocation4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,f_scorenone0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,f_scorenone1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,f_scorenone2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,f_scorenone3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,f_scorenone4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,f_scorenone0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,f_scorenone1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,f_scorenone2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,f_scorenone3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_scorenone4_promptFalse
0.0901639344262295,0.09243697478991597,0.2691358024691358,llama-7b-hf,0.088,44-432-283-456,0_prompt,False,5,,,,,,,,,,,,,,,,182,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,283,,,,,,,,,,,,,
0.12445414847161573,0.1168032786885246,0.339917695473251,llama-7b-hf,0.13317757009345793,57-431-356-371,0_prompt,False,4,,,,,,,,,,,,,,,,182,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,356,,,,,,,,,,,,,
0.09876543209876541,0.09937888198757763,0.27901234567901234,llama-7b-hf,0.09815950920245399,48-435-291-441,0_prompt,False,3,,,,,,,,,,,,,,,,182,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,291,,,,,,,,,,,,,
0.2432179607109448,0.2620967741935484,0.33415637860082303,llama-7b-hf,0.2268760907504363,130-366-276-443,0_prompt,False,2,,,,,,,,,,,,,,,,182,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,276,,,,,,,,,,,,,
0.15182755388940955,0.17960088691796008,0.2551440329218107,llama-7b-hf,0.1314935064935065,81-370-229-535,0_prompt,False,1,,,,,,,,,,,,,,,,182,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,229,,,,,,,,,,,,,
0.11727078891257994,0.11293634496919917,0.31851851851851853,llama-7b-hf,0.12195121951219512,55-432-332-396,0_prompt,False,0,,,,,,,,,,,,,,,,182,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,332,,,,,,,,,,,,,
0.03690036900369003,0.029354207436399216,0.35555555555555557,llama-7b-hf,0.04966887417218543,15-496-417-287,4_prompt,False,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,417,
0.04390243902439024,0.03488372093023256,0.35473251028806585,llama-7b-hf,0.05921052631578947,18-498-413-286,4_prompt,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,413,
0.061728395061728385,0.046992481203007516,0.37448559670781895,llama-7b-hf,0.08992805755395683,25-507-430-253,4_prompt,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,430,
0.06242774566473988,0.052734375,0.3325102880658436,llama-7b-hf,0.0764872521246459,27-485-377-326,4_prompt,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,377,
